,#0 Sarah Dang,#0 Sarah Deng,#2 Mari Somvichian,#02 Mari Somvichian,#03 Danae Powell,#3 Danae Powell,#04 Allison Clarke,#4 Allison Clarke,#6 Shawnee Nordstrom,#06 Shawnee Nordstrom,#07 Ana Milanovic,#7 Ana Milanovic,#8 Shanayka Ismar,#08 Shanayka Ismar,#11 Erica Finney,#13 Ivana Krajina,#22 Ali'a Matavao,#24 Kayla Jones,#30 Janay Brantley,#55 Maya Hernandez,2 Man Close-outs,2 Man Shell,2FGA,2FGm,2FGM,3 Man Transition Offense,3 Minute Conditioning,3FGA,3FGm,3FGM,3v2 | 2v1,3v3 Sling Rotations,50-50 Ball,Allow Middle,Allow O-Board,Allow OBoard,Allow Paint Touch,Allow Reversal,Allow UC 3,Allow Uncontested Three,Assist,At Rim -2,At Rim +2,Bad Pass,Ball Screen,C&S -3,C&S +3,Charge,Def Reb,Defend Scout,Defense,Deflection,Driving Layup,Dump-off,Forced Turnover,Foul,Foul - Defensive Foul,FT Drawn,FTA,FTm,FTM,Full Court Ball Stop,Half-court,Leave Your Feet,Live,Loose Ball Recovered,Loses It,Missed Box Out,Missed Layup,O-Board Allowed,Off Reb,Offense,Offensive Install,On-Ball Opp,Perfect 5 Man Shell Progression,Play Call,Play Call - Golden State,Play Call - Horns - 1,Play Call - Twirl 1,Play Call - Twirl Eye,Position Shooting,Post Move,Progression Lay up,Pull Up -2,Pull Up -3,Pull Up +2,Pull Up +3,Putback,Scout Team -2,Scout Team -3,Scout Team +2,Scout Team +3,Scout Team Turnover,Star Passing,Steal,Successful,Successful Boxout,twirl down,twirl eye,Taken away,Transition,Turnover,Unsuccessful,Whistle
#24 Kayla Jones,76,2,,32,,,11,1,40,,15,,,25,9,70,,142,,91,,,2,1,1,,,,,,,,,12,4,,18,1,7,,,1,1,,1,,,,1,,51,10,1,,,,,,,,,,37,,92,,,2,,,2,41,,19,,,,,,,,,,,,,,,,,,,,,4,18,9,,,,11,,34,10
#30 Janay Brantley,7,,,,,,,,7,,,,,7,,,7,,9,,,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,7,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,4,1
Half-court,37,,,29,5,,14,,5,,28,,,23,17,20,,37,,42,,,,,,,,,,,,,,7,1,,11,,5,,,,,,1,,,,,,21,2,,,,,,1,,,,,52,,51,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,12,5
Transition,13,,,10,3,,9,,4,,8,,,1,6,11,,11,,14,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,18,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,18,,10,2
#0 Sarah Deng,1,95,,,,,,,4,1,,,1,1,,1,,2,,1,,,4,2,2,,,5,4,1,,,,6,,3,7,7,,1,,,1,3,,3,,,1,,,1,1,,,1,,,,,,,,1,1,,,6,,1,1,1,,35,,,,,,,,,,2,1,1,1,,,,,,,,1,,7,,,1,,6,1,
#2 Mari Somvichian,,,44,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,5,,1,4,3,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
#3 Danae Powell,,,2,,,27,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,1,3,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04 Allison Clarke,21,,,46,35,,67,,,,51,,,,47,13,,11,,24,,,2,1,1,,1,2,2,,,,,7,2,,11,,2,,,,1,,,1,,,,,31,1,,1,,,,1,,,,,14,,62,,,,,,,30,,,,,,,,,,,,1,1,,,,,,,,,,,11,,,,,9,,25,15
#4 Allison Clarke,1,,,,,,,19,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,3,,,4,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,1,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1
#06 Shawnee Nordstrom,,1,,,,,,,,8,,,,,,,,,,,,,1,1,,,,2,2,,,,1,1,,,,2,,,,1,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#7 Ana Milanovic,,,1,,,3,,,,,,36,,,,,,,,,,,,,,,,1,1,,,,,1,,,10,4,,1,,,,,,1,,,1,,,1,,,,,,,,,,,,1,,,,1,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
#8 Shanayka Ismar,,1,,,,,,,,,,,28,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,2,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,16,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,,
#55 Maya Hernandez,90,1,,38,,,24,1,39,,29,,,26,17,72,,91,,162,,,5,1,4,,,,,,,,,14,4,1,24,2,8,1,,,4,1,1,,,,1,,58,7,,,,1,,1,1,1,,,42,,106,,,1,,,2,48,,16,,1,1,,,,,3,,1,,,,1,,,,,,,,19,11,,,1,14,2,38,13
